base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.11466, 0.90601, -1.46458, 0.19980, 0.92521, -1.42776, 0.07635, 1.17858, -1.49320, 0.04868, 0.99173, -1.59297
-0.11334, 0.90651, -1.46487, 0.20083, 0.92587, -1.42809, 0.07931, 1.17598, -1.50133, 0.04918, 0.99205, -1.59310
-0.11205, 0.90701, -1.46513, 0.20178, 0.92660, -1.42836, 0.08250, 1.17297, -1.50969, 0.04965, 0.99237, -1.59326
-0.11078, 0.90747, -1.46554, 0.20278, 0.92727, -1.42871, 0.08593, 1.16945, -1.51823, 0.05020, 0.99265, -1.59334
-0.10969, 0.90784, -1.46614, 0.20361, 0.92784, -1.42926, 0.08953, 1.16521, -1.52676, 0.05068, 0.99281, -1.59308
-0.10871, 0.90817, -1.46691, 0.20435, 0.92830, -1.42998, 0.09327, 1.16046, -1.53517, 0.05113, 0.99289, -1.59273
-0.10780, 0.90848, -1.46762, 0.20511, 0.92867, -1.43065, 0.09710, 1.15538, -1.54314, 0.05157, 0.99305, -1.59233
-0.10694, 0.90877, -1.46821, 0.20589, 0.92886, -1.43116, 0.10087, 1.15000, -1.55022, 0.05191, 0.99329, -1.59204
-0.10611, 0.90903, -1.46872, 0.20674, 0.92887, -1.43159, 0.10468, 1.14442, -1.55647, 0.05220, 0.99360, -1.59181
-0.10526, 0.90931, -1.46903, 0.20763, 0.92884, -1.43181, 0.10864, 1.13875, -1.56209, 0.05252, 0.99403, -1.59157
-0.10441, 0.90961, -1.46922, 0.20851, 0.92878, -1.43178, 0.11286, 1.13312, -1.56718, 0.05289, 0.99453, -1.59125
-0.10351, 0.90994, -1.46920, 0.20936, 0.92871, -1.43156, 0.11746, 1.12760, -1.57171, 0.05335, 0.99512, -1.59082
-0.10256, 0.91029, -1.46910, 0.21015, 0.92872, -1.43119, 0.12193, 1.12198, -1.57584, 0.05391, 0.99575, -1.59033
-0.10169, 0.91068, -1.46898, 0.21071, 0.92879, -1.43084, 0.12599, 1.11601, -1.57964, 0.05464, 0.99631, -1.58981
-0.10096, 0.91108, -1.46898, 0.21087, 0.92907, -1.43072, 0.12901, 1.10941, -1.58320, 0.05556, 0.99673, -1.58928
-0.10031, 0.91149, -1.46906, 0.21075, 0.92948, -1.43067, 0.13127, 1.10244, -1.58643, 0.05656, 0.99705, -1.58872
-0.09980, 0.91191, -1.46910, 0.21045, 0.92996, -1.43069, 0.13286, 1.09518, -1.58934, 0.05758, 0.99730, -1.58815
-0.09955, 0.91227, -1.46925, 0.20987, 0.93050, -1.43090, 0.13342, 1.08753, -1.59192, 0.05839, 0.99738, -1.58743
-0.09952, 0.91259, -1.46942, 0.20913, 0.93106, -1.43122, 0.13323, 1.07969, -1.59422, 0.05902, 0.99736, -1.58664
-0.09960, 0.91289, -1.46960, 0.20847, 0.93160, -1.43161, 0.13280, 1.07198, -1.59621, 0.05959, 0.99730, -1.58580
-0.09971, 0.91313, -1.46974, 0.20809, 0.93211, -1.43183, 0.13271, 1.06482, -1.59802, 0.06006, 0.99735, -1.58500
-0.09989, 0.91341, -1.46984, 0.20812, 0.93256, -1.43193, 0.13316, 1.05845, -1.59972, 0.06050, 0.99756, -1.58420
-0.09999, 0.91361, -1.46988, 0.20840, 0.93296, -1.43190, 0.13381, 1.05264, -1.60126, 0.06105, 0.99782, -1.58339
-0.10007, 0.91376, -1.46970, 0.20873, 0.93326, -1.43181, 0.13433, 1.04748, -1.60257, 0.06169, 0.99810, -1.58258
-0.09988, 0.91382, -1.46912, 0.20908, 0.93346, -1.43158, 0.13463, 1.04305, -1.60360, 0.06270, 0.99842, -1.58172
-0.09969, 0.91381, -1.46836, 0.20938, 0.93358, -1.43130, 0.13471, 1.03930, -1.60442, 0.06384, 0.99871, -1.58085
-0.09947, 0.91374, -1.46747, 0.20950, 0.93367, -1.43089, 0.13455, 1.03628, -1.60498, 0.06502, 0.99898, -1.57993
-0.09956, 0.91370, -1.46651, 0.20911, 0.93378, -1.43046, 0.13388, 1.03429, -1.60537, 0.06590, 0.99925, -1.57898
-0.09974, 0.91364, -1.46559, 0.20848, 0.93392, -1.42992, 0.13297, 1.03316, -1.60550, 0.06674, 0.99949, -1.57802
-0.10019, 0.91358, -1.46474, 0.20755, 0.93404, -1.42946, 0.13173, 1.03275, -1.60553, 0.06736, 0.99972, -1.57706
-0.10079, 0.91349, -1.46401, 0.20659, 0.93416, -1.42909, 0.13048, 1.03304, -1.60541, 0.06777, 0.99996, -1.57623
-0.10157, 0.91343, -1.46353, 0.20567, 0.93429, -1.42880, 0.12928, 1.03404, -1.60518, 0.06807, 1.00026, -1.57560
-0.10253, 0.91333, -1.46320, 0.20466, 0.93438, -1.42873, 0.12807, 1.03542, -1.60481, 0.06819, 1.00056, -1.57508
-0.10349, 0.91318, -1.46297, 0.20373, 0.93436, -1.42878, 0.12702, 1.03699, -1.60421, 0.06838, 1.00082, -1.57449
-0.10446, 0.91292, -1.46283, 0.20283, 0.93421, -1.42909, 0.12624, 1.03856, -1.60344, 0.06861, 1.00097, -1.57384
-0.10539, 0.91265, -1.46279, 0.20203, 0.93399, -1.42947, 0.12566, 1.04010, -1.60244, 0.06896, 1.00112, -1.57317
-0.10620, 0.91230, -1.46278, 0.20134, 0.93372, -1.42990, 0.12510, 1.04143, -1.60117, 0.06936, 1.00120, -1.57246
-0.10681, 0.91189, -1.46283, 0.20077, 0.93349, -1.43021, 0.12444, 1.04237, -1.59959, 0.06976, 1.00128, -1.57170
-0.10725, 0.91142, -1.46287, 0.20040, 0.93329, -1.43040, 0.12377, 1.04290, -1.59767, 0.07026, 1.00130, -1.57087
-0.10764, 0.91096, -1.46291, 0.20000, 0.93313, -1.43052, 0.12303, 1.04311, -1.59570, 0.07077, 1.00129, -1.57000
-0.10801, 0.91049, -1.46301, 0.19960, 0.93304, -1.43054, 0.12221, 1.04289, -1.59370, 0.07137, 1.00126, -1.56920
-0.10851, 0.91007, -1.46306, 0.19891, 0.93302, -1.43055, 0.12115, 1.04227, -1.59189, 0.07189, 1.00114, -1.56840
-0.10900, 0.90971, -1.46315, 0.19830, 0.93308, -1.43052, 0.12024, 1.04142, -1.59018, 0.07247, 1.00103, -1.56761
-0.10949, 0.90940, -1.46318, 0.19769, 0.93318, -1.43048, 0.11939, 1.04048, -1.58862, 0.07292, 1.00090, -1.56688
-0.10997, 0.90923, -1.46313, 0.19725, 0.93337, -1.43041, 0.11891, 1.03957, -1.58741, 0.07328, 1.00078, -1.56617
-0.11035, 0.90913, -1.46307, 0.19696, 0.93361, -1.43031, 0.11871, 1.03870, -1.58630, 0.07359, 1.00070, -1.56550
-0.11057, 0.90904, -1.46303, 0.19684, 0.93385, -1.43017, 0.11875, 1.03786, -1.58537, 0.07390, 1.00066, -1.56490
-0.11067, 0.90890, -1.46311, 0.19692, 0.93405, -1.43006, 0.11892, 1.03715, -1.58448, 0.07409, 1.00077, -1.56436
-0.11054, 0.90877, -1.46326, 0.19724, 0.93422, -1.42988, 0.11931, 1.03653, -1.58370, 0.07432, 1.00097, -1.56393
-0.11033, 0.90864, -1.46349, 0.19760, 0.93442, -1.42973, 0.11974, 1.03600, -1.58310, 0.07456, 1.00123, -1.56352
-0.10998, 0.90853, -1.46377, 0.19805, 0.93470, -1.42953, 0.12023, 1.03561, -1.58298, 0.07500, 1.00156, -1.56324
-0.10950, 0.90853, -1.46396, 0.19854, 0.93513, -1.42913, 0.12081, 1.03543, -1.58342, 0.07584, 1.00198, -1.56296
-0.10894, 0.90858, -1.46424, 0.19905, 0.93562, -1.42872, 0.12129, 1.03527, -1.58412, 0.07676, 1.00246, -1.56283
-0.10835, 0.90862, -1.46443, 0.19956, 0.93615, -1.42824, 0.12158, 1.03502, -1.58482, 0.07765, 1.00295, -1.56272
-0.10764, 0.90862, -1.46469, 0.20015, 0.93664, -1.42786, 0.12161, 1.03448, -1.58533, 0.07843, 1.00345, -1.56270
-0.10690, 0.90860, -1.46502, 0.20074, 0.93711, -1.42749, 0.12146, 1.03374, -1.58576, 0.07909, 1.00394, -1.56274
-0.10620, 0.90859, -1.46528, 0.20125, 0.93759, -1.42711, 0.12127, 1.03295, -1.58606, 0.07974, 1.00443, -1.56279
-0.10567, 0.90856, -1.46554, 0.20164, 0.93802, -1.42685, 0.12116, 1.03209, -1.58621, 0.08029, 1.00487, -1.56276
-0.10523, 0.90855, -1.46577, 0.20193, 0.93843, -1.42654, 0.12117, 1.03125, -1.58628, 0.08079, 1.00530, -1.56269
-0.10496, 0.90850, -1.46600, 0.20208, 0.93877, -1.42633, 0.12130, 1.03043, -1.58633, 0.08132, 1.00568, -1.56254
-0.10473, 0.90850, -1.46626, 0.20222, 0.93906, -1.42607, 0.12171, 1.02984, -1.58654, 0.08218, 1.00609, -1.56234
-0.10449, 0.90853, -1.46655, 0.20239, 0.93927, -1.42581, 0.12249, 1.02948, -1.58696, 0.08338, 1.00650, -1.56214
-0.10443, 0.90852, -1.46694, 0.20244, 0.93942, -1.42559, 0.12335, 1.02918, -1.58747, 0.08453, 1.00685, -1.56188
-0.10443, 0.90851, -1.46734, 0.20247, 0.93955, -1.42531, 0.12421, 1.02896, -1.58797, 0.08579, 1.00722, -1.56161
-0.10466, 0.90838, -1.46779, 0.20228, 0.93957, -1.42511, 0.12481, 1.02865, -1.58838, 0.08682, 1.00755, -1.56128
-0.10491, 0.90824, -1.46821, 0.20203, 0.93958, -1.42476, 0.12533, 1.02834, -1.58871, 0.08781, 1.00791, -1.56097
-0.10528, 0.90802, -1.46867, 0.20169, 0.93959, -1.42444, 0.12577, 1.02798, -1.58897, 0.08863, 1.00824, -1.56056
-0.10559, 0.90779, -1.46903, 0.20135, 0.93964, -1.42400, 0.12630, 1.02754, -1.58916, 0.08940, 1.00852, -1.56006
-0.10600, 0.90752, -1.46936, 0.20091, 0.93975, -1.42358, 0.12672, 1.02702, -1.58934, 0.09002, 1.00877, -1.55942
-0.10639, 0.90728, -1.46962, 0.20044, 0.93989, -1.42312, 0.12715, 1.02650, -1.58947, 0.09059, 1.00903, -1.55879
-0.10693, 0.90705, -1.46991, 0.19984, 0.94003, -1.42273, 0.12758, 1.02605, -1.58967, 0.09102, 1.00933, -1.55816
-0.10763, 0.90689, -1.47014, 0.19910, 0.94019, -1.42239, 0.12789, 1.02567, -1.58999, 0.09128, 1.00965, -1.55757
-0.10836, 0.90677, -1.47030, 0.19830, 0.94040, -1.42203, 0.12818, 1.02540, -1.59032, 0.09157, 1.01008, -1.55700
-0.10915, 0.90665, -1.47046, 0.19748, 0.94058, -1.42166, 0.12839, 1.02521, -1.59068, 0.09179, 1.01053, -1.55654
-0.10997, 0.90662, -1.47038, 0.19664, 0.94080, -1.42119, 0.12843, 1.02525, -1.59112, 0.09196, 1.01119, -1.55615
-0.11070, 0.90661, -1.47032, 0.19595, 0.94098, -1.42067, 0.12851, 1.02535, -1.59147, 0.09217, 1.01190, -1.55584
-0.11137, 0.90657, -1.47016, 0.19534, 0.94117, -1.42005, 0.12859, 1.02550, -1.59177, 0.09252, 1.01263, -1.55555
-0.11186, 0.90644, -1.47004, 0.19499, 0.94130, -1.41942, 0.12872, 1.02555, -1.59183, 0.09299, 1.01328, -1.55518
-0.11221, 0.90625, -1.46990, 0.19487, 0.94138, -1.41868, 0.12890, 1.02556, -1.59176, 0.09358, 1.01389, -1.55480
-0.11244, 0.90605, -1.46981, 0.19489, 0.94145, -1.41790, 0.12919, 1.02555, -1.59154, 0.09430, 1.01448, -1.55440
-0.11264, 0.90584, -1.46990, 0.19493, 0.94149, -1.41721, 0.12954, 1.02547, -1.59130, 0.09503, 1.01495, -1.55402
-0.11287, 0.90566, -1.47005, 0.19490, 0.94147, -1.41649, 0.13003, 1.02535, -1.59104, 0.09574, 1.01532, -1.55373
-0.11308, 0.90549, -1.47030, 0.19496, 0.94144, -1.41582, 0.13055, 1.02520, -1.59078, 0.09645, 1.01568, -1.55346
-0.11328, 0.90534, -1.47054, 0.19499, 0.94144, -1.41523, 0.13109, 1.02505, -1.59055, 0.09711, 1.01598, -1.55330
-0.11351, 0.90521, -1.47078, 0.19498, 0.94141, -1.41478, 0.13160, 1.02490, -1.59038, 0.09761, 1.01627, -1.55325
-0.11373, 0.90505, -1.47096, 0.19496, 0.94141, -1.41435, 0.13209, 1.02477, -1.59019, 0.09808, 1.01655, -1.55326
-0.11397, 0.90488, -1.47114, 0.19493, 0.94140, -1.41403, 0.13243, 1.02460, -1.59007, 0.09846, 1.01683, -1.55325
-0.11409, 0.90467, -1.47136, 0.19508, 0.94138, -1.41375, 0.13281, 1.02448, -1.58998, 0.09886, 1.01710, -1.55330
-0.11418, 0.90442, -1.47151, 0.19526, 0.94135, -1.41347, 0.13303, 1.02440, -1.58988, 0.09928, 1.01738, -1.55323
-0.11426, 0.90412, -1.47164, 0.19550, 0.94128, -1.41321, 0.13322, 1.02430, -1.58983, 0.09965, 1.01766, -1.55318
-0.11423, 0.90378, -1.47188, 0.19582, 0.94115, -1.41297, 0.13340, 1.02420, -1.58976, 0.10008, 1.01790, -1.55308
