base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.53671, 0.52048, -2.06583, 0.36761, 0.50764, -2.06975, -0.03943, 0.95689, -2.56312, -0.08695, 0.93877, -2.62033
-0.53655, 0.52058, -2.06586, 0.36747, 0.50767, -2.06958, -0.03930, 0.95687, -2.56287, -0.08661, 0.93879, -2.62029
-0.53618, 0.52069, -2.06584, 0.36727, 0.50764, -2.06924, -0.03909, 0.95685, -2.56260, -0.08638, 0.93877, -2.62024
-0.53573, 0.52071, -2.06562, 0.36708, 0.50757, -2.06880, -0.03886, 0.95681, -2.56222, -0.08640, 0.93874, -2.62004
-0.53538, 0.52061, -2.06519, 0.36690, 0.50738, -2.06823, -0.03855, 0.95672, -2.56186, -0.08691, 0.93864, -2.61975
-0.53516, 0.52043, -2.06445, 0.36670, 0.50715, -2.06749, -0.03833, 0.95666, -2.56145, -0.08775, 0.93854, -2.61931
-0.53493, 0.52017, -2.06352, 0.36665, 0.50686, -2.06662, -0.03790, 0.95657, -2.56095, -0.08873, 0.93840, -2.61874
-0.53497, 0.51979, -2.06232, 0.36662, 0.50652, -2.06565, -0.03761, 0.95649, -2.56042, -0.08949, 0.93832, -2.61808
-0.53529, 0.51934, -2.06088, 0.36669, 0.50619, -2.06461, -0.03736, 0.95642, -2.55979, -0.09009, 0.93827, -2.61727
-0.53561, 0.51886, -2.05927, 0.36695, 0.50588, -2.06346, -0.03711, 0.95637, -2.55907, -0.09051, 0.93825, -2.61641
-0.53583, 0.51845, -2.05761, 0.36751, 0.50565, -2.06225, -0.03677, 0.95635, -2.55826, -0.09064, 0.93827, -2.61553
-0.53590, 0.51818, -2.05602, 0.36826, 0.50554, -2.06104, -0.03633, 0.95636, -2.55735, -0.09053, 0.93830, -2.61453
-0.53568, 0.51798, -2.05429, 0.36939, 0.50552, -2.05971, -0.03579, 0.95638, -2.55640, -0.09021, 0.93836, -2.61356
-0.53557, 0.51784, -2.05243, 0.37059, 0.50554, -2.05828, -0.03532, 0.95642, -2.55543, -0.09015, 0.93840, -2.61251
