base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.32556, 0.56202, -2.12874, 0.14930, 0.52292, -2.05877, 0.17466, 0.96540, -2.61294, -0.17374, 0.84264, -2.52740
-0.32518, 0.56216, -2.12877, 0.14940, 0.52309, -2.05881, 0.17490, 0.96543, -2.61281, -0.17367, 0.84254, -2.52737
-0.32466, 0.56235, -2.12880, 0.14961, 0.52326, -2.05888, 0.17527, 0.96543, -2.61262, -0.17351, 0.84245, -2.52732
-0.32426, 0.56254, -2.12881, 0.14982, 0.52342, -2.05892, 0.17576, 0.96543, -2.61242, -0.17345, 0.84234, -2.52723
-0.32401, 0.56271, -2.12882, 0.14998, 0.52356, -2.05899, 0.17604, 0.96542, -2.61230, -0.17346, 0.84225, -2.52712
-0.32393, 0.56287, -2.12878, 0.15014, 0.52368, -2.05900, 0.17625, 0.96542, -2.61226, -0.17357, 0.84219, -2.52700
-0.32402, 0.56302, -2.12879, 0.15016, 0.52376, -2.05899, 0.17637, 0.96540, -2.61221, -0.17376, 0.84216, -2.52690
-0.32432, 0.56312, -2.12879, 0.15002, 0.52381, -2.05901, 0.17621, 0.96537, -2.61221, -0.17392, 0.84215, -2.52679
-0.32479, 0.56319, -2.12881, 0.14971, 0.52383, -2.05901, 0.17592, 0.96534, -2.61223, -0.17405, 0.84218, -2.52670
-0.32523, 0.56322, -2.12888, 0.14932, 0.52380, -2.05902, 0.17557, 0.96532, -2.61228, -0.17414, 0.84224, -2.52664
-0.32561, 0.56329, -2.12895, 0.14895, 0.52384, -2.05903, 0.17524, 0.96531, -2.61230, -0.17418, 0.84230, -2.52661
-0.32566, 0.56332, -2.12907, 0.14861, 0.52391, -2.05908, 0.17511, 0.96531, -2.61227, -0.17406, 0.84231, -2.52654
-0.32547, 0.56334, -2.12921, 0.14833, 0.52401, -2.05921, 0.17508, 0.96532, -2.61222, -0.17387, 0.84231, -2.52650
-0.32514, 0.56340, -2.12935, 0.14822, 0.52411, -2.05931, 0.17530, 0.96534, -2.61212, -0.17356, 0.84229, -2.52643
-0.32476, 0.56348, -2.12942, 0.14830, 0.52418, -2.05942, 0.17554, 0.96536, -2.61207, -0.17329, 0.84226, -2.52640
-0.32440, 0.56357, -2.12959, 0.14846, 0.52424, -2.05961, 0.17603, 0.96535, -2.61195, -0.17292, 0.84219, -2.52635
-0.32415, 0.56369, -2.12966, 0.14868, 0.52427, -2.05974, 0.17649, 0.96536, -2.61183, -0.17257, 0.84213, -2.52628
-0.32384, 0.56380, -2.12985, 0.14884, 0.52427, -2.05999, 0.17692, 0.96535, -2.61165, -0.17208, 0.84207, -2.52615
-0.32369, 0.56394, -2.13007, 0.14889, 0.52427, -2.06025, 0.17725, 0.96534, -2.61145, -0.17141, 0.84204, -2.52603
-0.32357, 0.56402, -2.13027, 0.14886, 0.52420, -2.06048, 0.17760, 0.96532, -2.61116, -0.17061, 0.84200, -2.52574
-0.32360, 0.56401, -2.13046, 0.14875, 0.52408, -2.06066, 0.17801, 0.96526, -2.61075, -0.16980, 0.84196, -2.52538
-0.32382, 0.56381, -2.13062, 0.14862, 0.52387, -2.06067, 0.17837, 0.96515, -2.61020, -0.16886, 0.84192, -2.52483
-0.32411, 0.56352, -2.13073, 0.14834, 0.52360, -2.06057, 0.17884, 0.96502, -2.60949, -0.16783, 0.84186, -2.52412
-0.32451, 0.56318, -2.13077, 0.14797, 0.52331, -2.06037, 0.17949, 0.96483, -2.60859, -0.16654, 0.84176, -2.52338
-0.32486, 0.56279, -2.13070, 0.14759, 0.52299, -2.06003, 0.18025, 0.96461, -2.60745, -0.16469, 0.84162, -2.52264
-0.32514, 0.56238, -2.13060, 0.14710, 0.52261, -2.05961, 0.18138, 0.96432, -2.60599, -0.16256, 0.84139, -2.52187
-0.32521, 0.56198, -2.13039, 0.14674, 0.52224, -2.05908, 0.18285, 0.96399, -2.60433, -0.16063, 0.84111, -2.52100
-0.32499, 0.56156, -2.13011, 0.14631, 0.52184, -2.05849, 0.18485, 0.96360, -2.60228, -0.15944, 0.84078, -2.51988
-0.32434, 0.56115, -2.12970, 0.14593, 0.52144, -2.05781, 0.18747, 0.96313, -2.59987, -0.15940, 0.84038, -2.51853
-0.32341, 0.56070, -2.12920, 0.14579, 0.52099, -2.05704, 0.19061, 0.96261, -2.59711, -0.16013, 0.83994, -2.51693
-0.32232, 0.56025, -2.12865, 0.14574, 0.52051, -2.05623, 0.19421, 0.96204, -2.59402, -0.16186, 0.83943, -2.51504
-0.32138, 0.55972, -2.12802, 0.14589, 0.51994, -2.05533, 0.19824, 0.96140, -2.59046, -0.16511, 0.83886, -2.51274
-0.32031, 0.55919, -2.12731, 0.14638, 0.51935, -2.05436, 0.20272, 0.96075, -2.58658, -0.16889, 0.83825, -2.51018
-0.31936, 0.55875, -2.12654, 0.14721, 0.51885, -2.05345, 0.20747, 0.96013, -2.58248, -0.17239, 0.83767, -2.50746
-0.31856, 0.55847, -2.12568, 0.14861, 0.51850, -2.05253, 0.21247, 0.95964, -2.57828, -0.17472, 0.83719, -2.50467
-0.31798, 0.55839, -2.12480, 0.15050, 0.51831, -2.05164, 0.21771, 0.95925, -2.57395, -0.17606, 0.83678, -2.50182
-0.31768, 0.55850, -2.12385, 0.15267, 0.51833, -2.05078, 0.22327, 0.95893, -2.56946, -0.17727, 0.83644, -2.49890
-0.31781, 0.55884, -2.12286, 0.15511, 0.51854, -2.04993, 0.22912, 0.95867, -2.56479, -0.17909, 0.83616, -2.49588
-0.31852, 0.55945, -2.12179, 0.15760, 0.51901, -2.04908, 0.23529, 0.95848, -2.55992, -0.18186, 0.83595, -2.49280
-0.31970, 0.56033, -2.12074, 0.16000, 0.51967, -2.04821, 0.24160, 0.95838, -2.55490, -0.18495, 0.83581, -2.48963
-0.32119, 0.56145, -2.11980, 0.16236, 0.52052, -2.04739, 0.24832, 0.95831, -2.54962, -0.18798, 0.83574, -2.48647
-0.32330, 0.56295, -2.11918, 0.16416, 0.52158, -2.04662, 0.25517, 0.95830, -2.54413, -0.19089, 0.83576, -2.48337
-0.32551, 0.56473, -2.11876, 0.16582, 0.52281, -2.04586, 0.26226, 0.95835, -2.53843, -0.19334, 0.83586, -2.48023
-0.32769, 0.56676, -2.11846, 0.16723, 0.52417, -2.04509, 0.26927, 0.95843, -2.53275, -0.19548, 0.83605, -2.47703
-0.32928, 0.56901, -2.11833, 0.16866, 0.52563, -2.04431, 0.27633, 0.95854, -2.52713, -0.19665, 0.83634, -2.47373
-0.33032, 0.57147, -2.11840, 0.16996, 0.52720, -2.04354, 0.28338, 0.95867, -2.52157, -0.19705, 0.83670, -2.47033
-0.33118, 0.57406, -2.11853, 0.17100, 0.52888, -2.04277, 0.29031, 0.95882, -2.51606, -0.19747, 0.83714, -2.46684
-0.33166, 0.57671, -2.11865, 0.17186, 0.53068, -2.04197, 0.29760, 0.95900, -2.51047, -0.19844, 0.83762, -2.46328
-0.33182, 0.57937, -2.11880, 0.17239, 0.53266, -2.04128, 0.30512, 0.95920, -2.50481, -0.20017, 0.83814, -2.45970
-0.33166, 0.58206, -2.11877, 0.17266, 0.53474, -2.04043, 0.31210, 0.95945, -2.49924, -0.20228, 0.83872, -2.45607
-0.33126, 0.58473, -2.11859, 0.17254, 0.53691, -2.03947, 0.31769, 0.95983, -2.49382, -0.20461, 0.83936, -2.45234
-0.33053, 0.58735, -2.11810, 0.17201, 0.53920, -2.03824, 0.32087, 0.96041, -2.48877, -0.20691, 0.84011, -2.44857
-0.32964, 0.58997, -2.11731, 0.17121, 0.54158, -2.03679, 0.32270, 0.96112, -2.48387, -0.20926, 0.84092, -2.44468
-0.32861, 0.59263, -2.11623, 0.17013, 0.54397, -2.03507, 0.32391, 0.96199, -2.47903, -0.21163, 0.84182, -2.44072
-0.32762, 0.59528, -2.11479, 0.16872, 0.54636, -2.03314, 0.32504, 0.96297, -2.47405, -0.21378, 0.84280, -2.43665
-0.32675, 0.59800, -2.11294, 0.16707, 0.54875, -2.03090, 0.32627, 0.96406, -2.46892, -0.21594, 0.84387, -2.43243
-0.32614, 0.60071, -2.11086, 0.16513, 0.55116, -2.02846, 0.32799, 0.96523, -2.46361, -0.21796, 0.84504, -2.42814
-0.32612, 0.60342, -2.10847, 0.16281, 0.55356, -2.02569, 0.33035, 0.96645, -2.45810, -0.21983, 0.84637, -2.42379
-0.32665, 0.60609, -2.10578, 0.16017, 0.55601, -2.02267, 0.33379, 0.96768, -2.45231, -0.22155, 0.84781, -2.41934
-0.32765, 0.60881, -2.10284, 0.15731, 0.55849, -2.01934, 0.33736, 0.96896, -2.44638, -0.22314, 0.84939, -2.41483
-0.32898, 0.61160, -2.09953, 0.15426, 0.56102, -2.01560, 0.34050, 0.97039, -2.44045, -0.22482, 0.85110, -2.41031
-0.33070, 0.61451, -2.09579, 0.15120, 0.56361, -2.01138, 0.34235, 0.97194, -2.43465, -0.22661, 0.85291, -2.40572
-0.33259, 0.61755, -2.09177, 0.14802, 0.56627, -2.00682, 0.34357, 0.97364, -2.42881, -0.22836, 0.85483, -2.40105
-0.33459, 0.62075, -2.08740, 0.14468, 0.56905, -2.00188, 0.34452, 0.97548, -2.42287, -0.23002, 0.85689, -2.39629
