base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.05088, 0.92120, -1.83463, -0.03005, 0.94096, -1.88252, 0.12375, 0.91412, -1.88932, 0.03774, 0.98312, -1.71741
-0.04917, 0.92782, -1.82971, -0.02973, 0.92052, -1.90187, 0.12742, 0.90033, -1.89260, 0.04174, 0.98951, -1.71250
-0.04751, 0.93442, -1.82435, -0.02966, 0.89991, -1.91928, 0.13033, 0.88646, -1.89526, 0.04602, 0.99598, -1.70726
-0.04591, 0.94101, -1.81838, -0.02988, 0.87965, -1.93456, 0.13252, 0.87284, -1.89739, 0.05052, 1.00269, -1.70180
-0.04429, 0.94758, -1.81135, -0.03059, 0.86061, -1.94769, 0.13379, 0.85988, -1.89916, 0.05539, 1.00988, -1.69613
-0.04260, 0.95415, -1.80358, -0.03135, 0.84266, -1.95898, 0.13432, 0.84749, -1.90053, 0.06056, 1.01740, -1.69031
-0.04105, 0.96071, -1.79514, -0.03190, 0.82549, -1.96850, 0.13423, 0.83557, -1.90142, 0.06587, 1.02523, -1.68411
-0.03976, 0.96729, -1.78635, -0.03135, 0.80899, -1.97673, 0.13379, 0.82408, -1.90182, 0.07130, 1.03322, -1.67758
-0.03889, 0.97390, -1.77720, -0.02946, 0.79320, -1.98379, 0.13305, 0.81304, -1.90183, 0.07669, 1.04136, -1.67058
-0.03806, 0.98052, -1.76771, -0.02678, 0.77835, -1.98936, 0.13191, 0.80246, -1.90128, 0.08211, 1.04960, -1.66319
-0.03712, 0.98716, -1.75781, -0.02339, 0.76477, -1.99322, 0.13033, 0.79239, -1.90016, 0.08764, 1.05791, -1.65540
-0.03591, 0.99386, -1.74751, -0.01950, 0.75305, -1.99533, 0.12798, 0.78287, -1.89835, 0.09319, 1.06621, -1.64712
-0.03448, 1.00053, -1.73698, -0.01514, 0.74269, -1.99586, 0.12540, 0.77393, -1.89599, 0.09872, 1.07447, -1.63849
-0.03275, 1.00716, -1.72624, -0.01029, 0.73348, -1.99461, 0.12308, 0.76577, -1.89323, 0.10443, 1.08275, -1.62971
-0.03082, 1.01366, -1.71542, -0.00526, 0.72535, -1.99079, 0.12153, 0.75854, -1.89017, 0.11011, 1.09098, -1.62081
-0.02865, 1.01999, -1.70470, 0.00008, 0.71813, -1.98526, 0.12076, 0.75221, -1.88686, 0.11583, 1.09907, -1.61189
-0.02629, 1.02605, -1.69425, 0.00582, 0.71153, -1.97918, 0.12064, 0.74668, -1.88338, 0.12152, 1.10698, -1.60295
-0.02388, 1.03166, -1.68455, 0.01235, 0.70521, -1.97407, 0.12123, 0.74184, -1.87974, 0.12713, 1.11443, -1.59398
-0.02141, 1.03671, -1.67582, 0.01966, 0.69894, -1.97045, 0.12255, 0.73771, -1.87598, 0.13254, 1.12132, -1.58511
-0.01878, 1.04156, -1.66731, 0.02613, 0.69298, -1.96641, 0.12444, 0.73436, -1.87196, 0.13775, 1.12796, -1.57633
-0.01598, 1.04648, -1.65867, 0.02980, 0.68731, -1.96054, 0.12687, 0.73193, -1.86749, 0.14272, 1.13452, -1.56767
-0.01278, 1.05176, -1.64919, 0.02750, 0.68184, -1.95068, 0.13016, 0.73055, -1.86215, 0.14738, 1.14120, -1.55907
-0.00941, 1.05718, -1.63949, 0.02424, 0.67686, -1.93929, 0.13371, 0.73022, -1.85642, 0.15165, 1.14792, -1.55073
-0.00588, 1.06259, -1.62997, 0.02434, 0.67261, -1.92814, 0.13740, 0.73098, -1.85057, 0.15569, 1.15468, -1.54268
-0.00238, 1.06780, -1.62132, 0.03421, 0.66950, -1.91963, 0.14082, 0.73308, -1.84474, 0.15922, 1.16145, -1.53502
0.00120, 1.07298, -1.61340, 0.05161, 0.66753, -1.91306, 0.14390, 0.73648, -1.83911, 0.16244, 1.16826, -1.52793
0.00464, 1.07824, -1.60564, 0.07093, 0.66667, -1.90682, 0.14609, 0.74112, -1.83407, 0.16531, 1.17502, -1.52145
0.00782, 1.08389, -1.59767, 0.08853, 0.66721, -1.89995, 0.14666, 0.74742, -1.83026, 0.16808, 1.18187, -1.51592
0.01074, 1.09007, -1.58924, 0.10231, 0.66928, -1.89206, 0.14531, 0.75541, -1.82792, 0.17089, 1.18885, -1.51148
0.01337, 1.09637, -1.58094, 0.11355, 0.67235, -1.88357, 0.14339, 0.76397, -1.82619, 0.17357, 1.19583, -1.50823
0.01565, 1.10255, -1.57310, 0.12210, 0.67618, -1.87467, 0.14184, 0.77215, -1.82465, 0.17612, 1.20281, -1.50637
0.01760, 1.10840, -1.56629, 0.12713, 0.68059, -1.86532, 0.14203, 0.77872, -1.82295, 0.17883, 1.20998, -1.50647
