base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
0.52754, 1.16047, -3.97561, -0.66153, 1.15727, -4.03562, -1.04435, 0.94606, -3.02547, 0.94684, 0.93301, -2.99578
0.52745, 1.16046, -3.97556, -0.66166, 1.15728, -4.03555, -1.04438, 0.94602, -3.02540, 0.94671, 0.93300, -2.99578
0.52737, 1.16045, -3.97546, -0.66179, 1.15728, -4.03546, -1.04444, 0.94596, -3.02529, 0.94663, 0.93296, -2.99571
0.52726, 1.16044, -3.97538, -0.66193, 1.15728, -4.03542, -1.04451, 0.94589, -3.02514, 0.94657, 0.93293, -2.99567
0.52725, 1.16043, -3.97518, -0.66196, 1.15727, -4.03545, -1.04460, 0.94579, -3.02489, 0.94661, 0.93292, -2.99570
0.52720, 1.16043, -3.97500, -0.66200, 1.15727, -4.03555, -1.04472, 0.94567, -3.02455, 0.94673, 0.93292, -2.99574
0.52722, 1.16043, -3.97474, -0.66198, 1.15725, -4.03562, -1.04486, 0.94556, -3.02422, 0.94692, 0.93290, -2.99573
0.52722, 1.16042, -3.97455, -0.66193, 1.15724, -4.03573, -1.04492, 0.94550, -3.02405, 0.94710, 0.93290, -2.99571
0.52726, 1.16040, -3.97439, -0.66184, 1.15723, -4.03586, -1.04493, 0.94550, -3.02403, 0.94728, 0.93286, -2.99557
0.52730, 1.16039, -3.97425, -0.66176, 1.15722, -4.03595, -1.04492, 0.94552, -3.02409, 0.94743, 0.93282, -2.99542
0.52735, 1.16038, -3.97421, -0.66166, 1.15722, -4.03609, -1.04488, 0.94555, -3.02415, 0.94751, 0.93281, -2.99529
0.52726, 1.16039, -3.97431, -0.66164, 1.15724, -4.03619, -1.04485, 0.94557, -3.02421, 0.94748, 0.93280, -2.99518
0.52719, 1.16043, -3.97456, -0.66163, 1.15728, -4.03636, -1.04477, 0.94561, -3.02430, 0.94732, 0.93282, -2.99515
0.52713, 1.16049, -3.97487, -0.66161, 1.15733, -4.03657, -1.04471, 0.94564, -3.02436, 0.94717, 0.93285, -2.99516
0.52715, 1.16058, -3.97524, -0.66148, 1.15736, -4.03684, -1.04461, 0.94570, -3.02446, 0.94700, 0.93290, -2.99528
0.52722, 1.16070, -3.97570, -0.66133, 1.15741, -4.03717, -1.04452, 0.94576, -3.02456, 0.94684, 0.93299, -2.99554
0.52735, 1.16082, -3.97613, -0.66109, 1.15744, -4.03755, -1.04439, 0.94585, -3.02470, 0.94669, 0.93308, -2.99583
0.52755, 1.16095, -3.97650, -0.66085, 1.15749, -4.03796, -1.04426, 0.94593, -3.02482, 0.94662, 0.93317, -2.99612
0.52777, 1.16106, -3.97676, -0.66059, 1.15752, -4.03835, -1.04414, 0.94600, -3.02490, 0.94662, 0.93326, -2.99640
0.52798, 1.16117, -3.97697, -0.66037, 1.15757, -4.03872, -1.04406, 0.94606, -3.02498, 0.94665, 0.93335, -2.99666
0.52823, 1.16125, -3.97712, -0.66013, 1.15758, -4.03904, -1.04396, 0.94611, -3.02506, 0.94672, 0.93345, -2.99692
0.52844, 1.16130, -3.97718, -0.66000, 1.15762, -4.03932, -1.04395, 0.94612, -3.02506, 0.94683, 0.93353, -2.99711
0.52864, 1.16131, -3.97717, -0.65989, 1.15762, -4.03949, -1.04397, 0.94612, -3.02505, 0.94692, 0.93359, -2.99723
0.52885, 1.16133, -3.97715, -0.65980, 1.15762, -4.03966, -1.04399, 0.94611, -3.02505, 0.94701, 0.93363, -2.99731
0.52901, 1.16134, -3.97714, -0.65974, 1.15760, -4.03977, -1.04398, 0.94612, -3.02509, 0.94704, 0.93366, -2.99733
0.52910, 1.16132, -3.97709, -0.65970, 1.15757, -4.03985, -1.04396, 0.94612, -3.02509, 0.94700, 0.93366, -2.99730
0.52914, 1.16130, -3.97708, -0.65970, 1.15754, -4.03988, -1.04395, 0.94611, -3.02509, 0.94694, 0.93364, -2.99720
0.52916, 1.16129, -3.97706, -0.65967, 1.15751, -4.03986, -1.04389, 0.94613, -3.02515, 0.94690, 0.93360, -2.99710
0.52920, 1.16129, -3.97705, -0.65955, 1.15746, -4.03981, -1.04380, 0.94616, -3.02522, 0.94685, 0.93353, -2.99698
0.52917, 1.16128, -3.97700, -0.65952, 1.15743, -4.03972, -1.04372, 0.94618, -3.02529, 0.94681, 0.93347, -2.99687
0.52911, 1.16125, -3.97693, -0.65955, 1.15740, -4.03955, -1.04364, 0.94619, -3.02531, 0.94682, 0.93337, -2.99667
0.52907, 1.16121, -3.97675, -0.65961, 1.15737, -4.03937, -1.04368, 0.94617, -3.02529, 0.94691, 0.93330, -2.99651
0.52913, 1.16116, -3.97651, -0.65966, 1.15733, -4.03913, -1.04373, 0.94614, -3.02524, 0.94703, 0.93321, -2.99635
0.52916, 1.16109, -3.97625, -0.65976, 1.15728, -4.03886, -1.04381, 0.94610, -3.02515, 0.94715, 0.93314, -2.99621
0.52922, 1.16102, -3.97596, -0.65987, 1.15723, -4.03859, -1.04394, 0.94603, -3.02502, 0.94726, 0.93309, -2.99610
0.52937, 1.16095, -3.97559, -0.66001, 1.15720, -4.03831, -1.04407, 0.94595, -3.02482, 0.94735, 0.93305, -2.99603
0.52945, 1.16087, -3.97523, -0.66016, 1.15716, -4.03795, -1.04421, 0.94585, -3.02457, 0.94742, 0.93305, -2.99604
0.52962, 1.16082, -3.97491, -0.66019, 1.15710, -4.03760, -1.04429, 0.94577, -3.02433, 0.94745, 0.93304, -2.99608
