base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.04227, 0.94799, -1.50400, 0.18528, 0.78121, -1.57888, 0.22327, 0.97159, -1.69491, 0.13079, 1.05215, -1.63378
-0.04173, 0.94948, -1.50376, 0.18752, 0.77947, -1.56317, 0.22438, 0.97206, -1.69203, 0.13329, 1.05506, -1.63373
-0.04103, 0.95103, -1.50364, 0.18817, 0.77820, -1.54915, 0.22599, 0.97222, -1.68911, 0.13579, 1.05794, -1.63369
-0.04023, 0.95251, -1.50381, 0.18645, 0.77785, -1.53852, 0.22777, 0.97251, -1.68645, 0.13817, 1.06084, -1.63377
-0.03963, 0.95366, -1.50459, 0.17993, 0.77938, -1.53504, 0.22936, 0.97343, -1.68468, 0.14026, 1.06371, -1.63405
-0.03917, 0.95453, -1.50591, 0.17003, 0.78224, -1.53696, 0.23076, 0.97483, -1.68357, 0.14200, 1.06651, -1.63441
-0.03863, 0.95530, -1.50737, 0.15978, 0.78540, -1.54059, 0.23210, 0.97632, -1.68274, 0.14357, 1.06921, -1.63474
-0.03797, 0.95612, -1.50862, 0.15191, 0.78798, -1.54335, 0.23333, 0.97758, -1.68193, 0.14495, 1.07171, -1.63490
-0.03703, 0.95704, -1.50957, 0.14831, 0.78953, -1.54395, 0.23451, 0.97844, -1.68089, 0.14626, 1.07395, -1.63472
-0.03611, 0.95804, -1.51017, 0.14728, 0.79056, -1.54379, 0.23552, 0.97918, -1.67980, 0.14728, 1.07613, -1.63446
-0.03524, 0.95910, -1.51037, 0.14888, 0.79106, -1.54330, 0.23637, 0.98001, -1.67867, 0.14796, 1.07835, -1.63425
-0.03452, 0.96031, -1.50991, 0.15403, 0.79078, -1.54261, 0.23696, 0.98107, -1.67743, 0.14810, 1.08077, -1.63425
-0.03402, 0.96149, -1.50910, 0.16074, 0.79025, -1.54170, 0.23731, 0.98225, -1.67607, 0.14784, 1.08324, -1.63429
-0.03392, 0.96263, -1.50832, 0.16734, 0.78989, -1.54069, 0.23736, 0.98351, -1.67465, 0.14739, 1.08557, -1.63417
-0.03445, 0.96349, -1.50784, 0.17201, 0.79022, -1.53944, 0.23713, 0.98475, -1.67305, 0.14695, 1.08755, -1.63361
-0.03546, 0.96418, -1.50765, 0.17472, 0.79119, -1.53804, 0.23650, 0.98602, -1.67134, 0.14643, 1.08931, -1.63278
-0.03654, 0.96478, -1.50751, 0.17614, 0.79246, -1.53657, 0.23558, 0.98727, -1.66959, 0.14573, 1.09100, -1.63190
-0.03727, 0.96534, -1.50723, 0.17596, 0.79384, -1.53491, 0.23433, 0.98849, -1.66790, 0.14483, 1.09285, -1.63110
-0.03759, 0.96595, -1.50673, 0.17408, 0.79525, -1.53306, 0.23276, 0.98970, -1.66635, 0.14365, 1.09496, -1.63053
-0.03759, 0.96655, -1.50620, 0.17167, 0.79671, -1.53121, 0.23092, 0.99085, -1.66486, 0.14217, 1.09705, -1.63007
-0.03725, 0.96717, -1.50584, 0.16937, 0.79819, -1.52934, 0.22901, 0.99188, -1.66328, 0.14062, 1.09893, -1.62960
-0.03650, 0.96782, -1.50582, 0.16809, 0.79968, -1.52754, 0.22717, 0.99273, -1.66161, 0.13901, 1.10037, -1.62918
-0.03547, 0.96841, -1.50596, 0.16753, 0.80123, -1.52598, 0.22522, 0.99344, -1.65979, 0.13722, 1.10153, -1.62865
-0.03441, 0.96893, -1.50600, 0.16755, 0.80290, -1.52468, 0.22271, 0.99409, -1.65803, 0.13487, 1.10262, -1.62801
-0.03320, 0.96919, -1.50596, 0.16869, 0.80477, -1.52401, 0.21957, 0.99465, -1.65622, 0.13187, 1.10378, -1.62705
-0.03207, 0.96928, -1.50567, 0.17049, 0.80680, -1.52383, 0.21558, 0.99511, -1.65444, 0.12798, 1.10496, -1.62587
-0.03087, 0.96937, -1.50501, 0.17249, 0.80898, -1.52391, 0.21091, 0.99549, -1.65267, 0.12322, 1.10610, -1.62455
-0.02976, 0.96962, -1.50364, 0.17407, 0.81125, -1.52412, 0.20528, 0.99569, -1.65100, 0.11724, 1.10714, -1.62306
-0.02871, 0.97009, -1.50141, 0.17492, 0.81361, -1.52434, 0.19865, 0.99566, -1.64939, 0.10984, 1.10807, -1.62141
-0.02792, 0.97051, -1.49879, 0.17564, 0.81606, -1.52474, 0.19134, 0.99553, -1.64792, 0.10142, 1.10887, -1.61968
-0.02765, 0.97070, -1.49593, 0.17628, 0.81859, -1.52542, 0.18338, 0.99533, -1.64670, 0.09194, 1.10952, -1.61760
-0.02811, 0.97036, -1.49297, 0.17715, 0.82129, -1.52639, 0.17483, 0.99515, -1.64571, 0.08132, 1.11007, -1.61504
-0.02918, 0.96971, -1.49011, 0.17817, 0.82406, -1.52773, 0.16583, 0.99495, -1.64502, 0.06989, 1.11041, -1.61233
-0.03104, 0.96883, -1.48745, 0.17903, 0.82687, -1.52963, 0.15618, 0.99477, -1.64475, 0.05773, 1.11053, -1.60958
-0.03358, 0.96774, -1.48528, 0.17988, 0.82968, -1.53230, 0.14595, 0.99457, -1.64505, 0.04509, 1.11026, -1.60725
-0.03710, 0.96649, -1.48357, 0.18054, 0.83244, -1.53570, 0.13506, 0.99439, -1.64590, 0.03189, 1.10971, -1.60519
-0.04180, 0.96510, -1.48230, 0.18119, 0.83514, -1.53960, 0.12391, 0.99430, -1.64715, 0.01851, 1.10899, -1.60331
-0.04851, 0.96346, -1.48183, 0.18173, 0.83760, -1.54404, 0.11265, 0.99432, -1.64881, 0.00493, 1.10826, -1.60162
-0.05764, 0.96151, -1.48229, 0.18219, 0.83979, -1.54913, 0.10122, 0.99446, -1.65089, -0.00882, 1.10751, -1.59999
-0.06715, 0.95948, -1.48275, 0.18315, 0.84194, -1.55460, 0.08974, 0.99463, -1.65328, -0.02270, 1.10667, -1.59846
-0.07559, 0.95751, -1.48243, 0.18525, 0.84426, -1.56021, 0.07823, 0.99488, -1.65589, -0.03663, 1.10572, -1.59697
-0.08140, 0.95581, -1.47997, 0.18945, 0.84713, -1.56572, 0.06642, 0.99513, -1.65868, -0.05093, 1.10460, -1.59533
-0.08536, 0.95440, -1.47698, 0.19468, 0.84990, -1.57148, 0.05489, 0.99530, -1.66160, -0.06494, 1.10322, -1.59376
-0.08769, 0.95338, -1.47469, 0.20000, 0.85196, -1.57806, 0.04404, 0.99523, -1.66460, -0.07807, 1.10138, -1.59241
-0.08773, 0.95274, -1.47516, 0.20492, 0.85234, -1.58688, 0.03426, 0.99452, -1.66769, -0.08981, 1.09859, -1.59134
-0.08594, 0.95264, -1.47769, 0.20896, 0.85110, -1.59760, 0.02579, 0.99332, -1.67072, -0.09989, 1.09507, -1.59066
-0.08302, 0.95338, -1.48093, 0.21187, 0.84860, -1.60945, 0.01899, 0.99193, -1.67339, -0.10793, 1.09119, -1.59019
-0.07929, 0.95563, -1.48355, 0.21236, 0.84458, -1.62252, 0.01427, 0.99054, -1.67546, -0.11354, 1.08722, -1.58986
-0.07506, 0.95963, -1.48510, 0.20982, 0.83899, -1.63644, 0.01217, 0.98915, -1.67666, -0.11611, 1.08324, -1.58952
-0.07165, 0.96414, -1.48636, 0.20515, 0.83293, -1.64905, 0.01232, 0.98804, -1.67716, -0.11575, 1.07969, -1.58943
-0.07060, 0.96838, -1.48772, 0.19851, 0.82722, -1.65807, 0.01499, 0.98744, -1.67669, -0.11168, 1.07697, -1.58960
-0.07461, 0.97166, -1.48918, 0.18965, 0.82315, -1.65993, 0.02084, 0.98790, -1.67491, -0.10258, 1.07584, -1.59006
-0.08091, 0.97423, -1.49109, 0.17946, 0.81997, -1.65743, 0.02927, 0.98895, -1.67229, -0.08976, 1.07569, -1.59113
-0.08777, 0.97592, -1.49386, 0.16840, 0.81725, -1.65214, 0.03998, 0.99042, -1.66912, -0.07402, 1.07629, -1.59305
-0.09324, 0.97574, -1.49877, 0.15674, 0.81469, -1.64455, 0.05348, 0.99239, -1.66553, -0.05492, 1.07771, -1.59649
-0.09777, 0.97467, -1.50532, 0.14521, 0.81233, -1.63529, 0.06921, 0.99469, -1.66162, -0.03330, 1.07978, -1.60127
-0.10255, 0.97447, -1.51233, 0.13445, 0.81014, -1.62516, 0.08635, 0.99711, -1.65776, -0.01042, 1.08223, -1.60712
-0.10814, 0.97713, -1.51947, 0.12543, 0.80768, -1.61579, 0.10438, 0.99934, -1.65433, 0.01272, 1.08480, -1.61392
-0.11445, 0.98346, -1.52652, 0.11854, 0.80461, -1.60834, 0.12282, 1.00113, -1.65147, 0.03551, 1.08731, -1.62145
-0.12018, 0.99125, -1.53386, 0.11385, 0.80157, -1.60230, 0.14154, 1.00243, -1.64907, 0.05816, 1.08983, -1.62971
-0.12453, 0.99913, -1.54215, 0.11190, 0.79879, -1.59830, 0.15987, 1.00305, -1.64715, 0.08040, 1.09239, -1.63863
-0.12662, 1.00548, -1.55317, 0.11393, 0.79638, -1.59785, 0.17691, 1.00256, -1.64587, 0.10180, 1.09491, -1.64829
-0.12682, 1.01087, -1.56648, 0.11898, 0.79398, -1.60028, 0.19364, 1.00114, -1.64495, 0.12257, 1.09722, -1.65827
-0.12521, 1.01538, -1.58203, 0.12654, 0.79135, -1.60548, 0.21062, 0.99869, -1.64429, 0.14266, 1.09909, -1.66803
-0.12114, 1.01867, -1.60137, 0.13691, 0.78779, -1.61470, 0.22909, 0.99458, -1.64390, 0.16225, 1.09999, -1.67668
-0.11496, 1.02096, -1.62342, 0.14971, 0.78365, -1.62694, 0.24842, 0.98913, -1.64369, 0.18076, 1.10016, -1.68455
-0.10706, 1.02271, -1.64643, 0.16464, 0.77962, -1.64080, 0.26752, 0.98296, -1.64351, 0.19709, 1.10008, -1.69262
-0.09745, 1.02423, -1.66873, 0.18181, 0.77643, -1.65511, 0.28528, 0.97656, -1.64316, 0.20982, 1.10015, -1.70174
-0.08596, 1.02571, -1.68911, 0.20125, 0.77450, -1.66894, 0.30109, 0.97033, -1.64255, 0.21810, 1.10062, -1.71254
-0.07314, 1.02700, -1.70748, 0.22166, 0.77339, -1.68215, 0.31491, 0.96436, -1.64171, 0.22243, 1.10117, -1.72472
-0.05907, 1.02817, -1.72286, 0.24228, 0.77306, -1.69391, 0.32655, 0.95899, -1.64064, 0.22273, 1.10175, -1.73879
-0.04389, 1.02928, -1.73326, 0.26149, 0.77372, -1.70291, 0.33522, 0.95478, -1.63923, 0.21811, 1.10233, -1.75546
-0.02806, 1.03019, -1.73938, 0.27970, 0.77526, -1.70949, 0.34060, 0.95167, -1.63755, 0.20900, 1.10271, -1.77385
-0.01223, 1.03069, -1.74089, 0.29655, 0.77783, -1.71309, 0.34175, 0.94993, -1.63561, 0.19507, 1.10290, -1.79316
0.00280, 1.03067, -1.73563, 0.31090, 0.78212, -1.71196, 0.33629, 0.95046, -1.63332, 0.17479, 1.10326, -1.81278
0.01683, 1.03014, -1.72440, 0.32270, 0.78782, -1.70666, 0.32513, 0.95283, -1.63100, 0.14934, 1.10318, -1.83247
0.02975, 1.02900, -1.70918, 0.33252, 0.79416, -1.69880, 0.31007, 0.95625, -1.62879, 0.12076, 1.10186, -1.85205
0.04160, 1.02680, -1.69068, 0.34096, 0.80053, -1.68873, 0.29174, 0.96062, -1.62696, 0.09029, 1.09884, -1.87113
0.05202, 1.02335, -1.66942, 0.34818, 0.80661, -1.67703, 0.27045, 0.96576, -1.62576, 0.05896, 1.09387, -1.88906
0.05975, 1.01950, -1.64642, 0.35328, 0.81276, -1.66533, 0.24673, 0.97110, -1.62519, 0.02739, 1.08726, -1.90528
0.06329, 1.01549, -1.62315, 0.35571, 0.81889, -1.65551, 0.22081, 0.97609, -1.62540, -0.00414, 1.07913, -1.91927
0.06043, 1.01127, -1.60210, 0.35482, 0.82451, -1.65043, 0.19277, 0.98001, -1.62652, -0.03566, 1.06934, -1.93081
0.05356, 1.00698, -1.58299, 0.35233, 0.82991, -1.64889, 0.16320, 0.98322, -1.62844, -0.06680, 1.05842, -1.93970
0.04447, 1.00271, -1.56644, 0.34960, 0.83519, -1.65068, 0.13287, 0.98563, -1.63125, -0.09716, 1.04655, -1.94574
0.03523, 0.99854, -1.55457, 0.34913, 0.84023, -1.65726, 0.10268, 0.98659, -1.63519, -0.12665, 1.03355, -1.94858
0.02551, 0.99431, -1.54684, 0.35047, 0.84496, -1.66794, 0.07279, 0.98639, -1.63998, -0.15530, 1.01960, -1.94848
0.01447, 0.98984, -1.54221, 0.35255, 0.84906, -1.68157, 0.04338, 0.98553, -1.64492, -0.18288, 1.00492, -1.94581
0.00177, 0.98470, -1.54110, 0.35526, 0.85220, -1.69859, 0.01467, 0.98409, -1.64946, -0.20925, 0.98940, -1.94034
-0.01292, 0.97870, -1.54385, 0.35833, 0.85391, -1.71948, -0.01287, 0.98205, -1.65330, -0.23419, 0.97291, -1.93205
-0.02979, 0.97249, -1.55014, 0.36059, 0.85376, -1.74384, -0.03857, 0.97975, -1.65696, -0.25756, 0.95580, -1.92184
-0.04979, 0.96664, -1.56046, 0.36008, 0.85089, -1.77277, -0.06168, 0.97745, -1.66098, -0.27908, 0.93829, -1.91013
-0.07449, 0.96176, -1.57649, 0.35388, 0.84359, -1.80883, -0.08069, 0.97517, -1.66598, -0.29805, 0.92032, -1.89701
