base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.25713, 1.34735, -1.34824, 0.10651, 1.35073, -1.26686, -0.01229, 0.97454, -2.70684, -0.05793, 0.94481, -2.64349
-0.25720, 1.34743, -1.34831, 0.10639, 1.35072, -1.26715, -0.01244, 0.97446, -2.70685, -0.05812, 0.94476, -2.64366
-0.25727, 1.34746, -1.34841, 0.10615, 1.35070, -1.26737, -0.01271, 0.97438, -2.70684, -0.05833, 0.94474, -2.64383
-0.25716, 1.34738, -1.34856, 0.10608, 1.35074, -1.26747, -0.01277, 0.97436, -2.70689, -0.05846, 0.94471, -2.64395
-0.25695, 1.34717, -1.34882, 0.10607, 1.35078, -1.26743, -0.01292, 0.97441, -2.70701, -0.05843, 0.94470, -2.64404
-0.25659, 1.34693, -1.34905, 0.10624, 1.35086, -1.26727, -0.01296, 0.97451, -2.70716, -0.05825, 0.94468, -2.64405
-0.25645, 1.34673, -1.34921, 0.10632, 1.35091, -1.26718, -0.01304, 0.97460, -2.70730, -0.05813, 0.94470, -2.64409
-0.25640, 1.34667, -1.34919, 0.10637, 1.35090, -1.26714, -0.01307, 0.97465, -2.70735, -0.05805, 0.94468, -2.64406
-0.25652, 1.34677, -1.34905, 0.10636, 1.35087, -1.26721, -0.01309, 0.97467, -2.70738, -0.05811, 0.94466, -2.64398
-0.25675, 1.34695, -1.34880, 0.10631, 1.35080, -1.26732, -0.01321, 0.97466, -2.70736, -0.05819, 0.94465, -2.64396
-0.25697, 1.34714, -1.34859, 0.10621, 1.35072, -1.26747, -0.01331, 0.97461, -2.70732, -0.05825, 0.94463, -2.64388
-0.25723, 1.34729, -1.34835, 0.10607, 1.35064, -1.26765, -0.01324, 0.97452, -2.70728, -0.05826, 0.94463, -2.64384
-0.25755, 1.34747, -1.34809, 0.10581, 1.35054, -1.26782, -0.01329, 0.97443, -2.70723, -0.05832, 0.94462, -2.64383
-0.25780, 1.34760, -1.34792, 0.10561, 1.35047, -1.26800, -0.01332, 0.97435, -2.70720, -0.05832, 0.94463, -2.64384
-0.25801, 1.34764, -1.34777, 0.10543, 1.35040, -1.26808, -0.01335, 0.97432, -2.70721, -0.05823, 0.94466, -2.64390
-0.25821, 1.34767, -1.34773, 0.10516, 1.35034, -1.26815, -0.01345, 0.97428, -2.70723, -0.05821, 0.94469, -2.64401
-0.25844, 1.34761, -1.34772, 0.10487, 1.35027, -1.26820, -0.01365, 0.97429, -2.70727, -0.05827, 0.94474, -2.64415
-0.25850, 1.34741, -1.34800, 0.10458, 1.35017, -1.26823, -0.01382, 0.97432, -2.70726, -0.05834, 0.94477, -2.64425
-0.25860, 1.34717, -1.34839, 0.10421, 1.35005, -1.26831, -0.01408, 0.97439, -2.70730, -0.05851, 0.94480, -2.64438
-0.25873, 1.34691, -1.34880, 0.10386, 1.34994, -1.26840, -0.01432, 0.97445, -2.70730, -0.05874, 0.94483, -2.64453
-0.25875, 1.34665, -1.34934, 0.10358, 1.34982, -1.26861, -0.01435, 0.97446, -2.70731, -0.05884, 0.94478, -2.64457
-0.25895, 1.34649, -1.34983, 0.10331, 1.34968, -1.26892, -0.01419, 0.97442, -2.70721, -0.05900, 0.94473, -2.64457
-0.25912, 1.34637, -1.35038, 0.10308, 1.34956, -1.26937, -0.01396, 0.97435, -2.70713, -0.05912, 0.94465, -2.64456
-0.25919, 1.34625, -1.35098, 0.10296, 1.34943, -1.26991, -0.01370, 0.97426, -2.70708, -0.05919, 0.94455, -2.64450
-0.25918, 1.34614, -1.35163, 0.10285, 1.34931, -1.27054, -0.01336, 0.97417, -2.70715, -0.05897, 0.94448, -2.64447
-0.25919, 1.34606, -1.35233, 0.10277, 1.34920, -1.27123, -0.01302, 0.97407, -2.70722, -0.05877, 0.94441, -2.64442
-0.25918, 1.34589, -1.35308, 0.10267, 1.34906, -1.27198, -0.01269, 0.97398, -2.70722, -0.05856, 0.94435, -2.64441
-0.25925, 1.34564, -1.35406, 0.10262, 1.34894, -1.27277, -0.01247, 0.97388, -2.70728, -0.05831, 0.94429, -2.64438
-0.25931, 1.34532, -1.35510, 0.10253, 1.34880, -1.27359, -0.01235, 0.97379, -2.70725, -0.05806, 0.94423, -2.64439
-0.25952, 1.34497, -1.35619, 0.10243, 1.34864, -1.27442, -0.01216, 0.97370, -2.70721, -0.05796, 0.94414, -2.64434
-0.25982, 1.34472, -1.35723, 0.10221, 1.34845, -1.27538, -0.01202, 0.97360, -2.70708, -0.05805, 0.94403, -2.64430
-0.26031, 1.34453, -1.35821, 0.10204, 1.34819, -1.27641, -0.01185, 0.97350, -2.70683, -0.05852, 0.94387, -2.64420
-0.26073, 1.34436, -1.35923, 0.10182, 1.34794, -1.27751, -0.01163, 0.97340, -2.70654, -0.05911, 0.94368, -2.64407
-0.26099, 1.34417, -1.36027, 0.10157, 1.34764, -1.27866, -0.01129, 0.97331, -2.70625, -0.05969, 0.94346, -2.64387
-0.26096, 1.34391, -1.36150, 0.10136, 1.34734, -1.27992, -0.01083, 0.97321, -2.70588, -0.06032, 0.94326, -2.64365
-0.26078, 1.34360, -1.36283, 0.10104, 1.34699, -1.28131, -0.01036, 0.97310, -2.70551, -0.06086, 0.94306, -2.64337
-0.26061, 1.34323, -1.36428, 0.10072, 1.34660, -1.28275, -0.00992, 0.97299, -2.70509, -0.06151, 0.94283, -2.64306
-0.26049, 1.34279, -1.36573, 0.10029, 1.34618, -1.28434, -0.00942, 0.97281, -2.70459, -0.06223, 0.94258, -2.64277
-0.26045, 1.34231, -1.36727, 0.09987, 1.34570, -1.28605, -0.00900, 0.97262, -2.70409, -0.06300, 0.94231, -2.64246
-0.26055, 1.34182, -1.36869, 0.09944, 1.34522, -1.28764, -0.00851, 0.97244, -2.70358, -0.06374, 0.94206, -2.64213
-0.26084, 1.34141, -1.36982, 0.09900, 1.34476, -1.28901, -0.00804, 0.97232, -2.70301, -0.06428, 0.94191, -2.64177
-0.26132, 1.34111, -1.37061, 0.09852, 1.34436, -1.29004, -0.00759, 0.97226, -2.70244, -0.06466, 0.94187, -2.64141
-0.26178, 1.34083, -1.37122, 0.09822, 1.34400, -1.29079, -0.00705, 0.97226, -2.70186, -0.06491, 0.94187, -2.64097
-0.26224, 1.34056, -1.37166, 0.09777, 1.34358, -1.29148, -0.00649, 0.97226, -2.70118, -0.06514, 0.94191, -2.64052
-0.26231, 1.34019, -1.37205, 0.09744, 1.34318, -1.29192, -0.00578, 0.97228, -2.70042, -0.06536, 0.94197, -2.63995
-0.26224, 1.33979, -1.37240, 0.09716, 1.34276, -1.29233, -0.00505, 0.97229, -2.69956, -0.06560, 0.94198, -2.63930
-0.26219, 1.33934, -1.37279, 0.09672, 1.34230, -1.29275, -0.00423, 0.97228, -2.69860, -0.06596, 0.94200, -2.63864
-0.26214, 1.33878, -1.37338, 0.09632, 1.34177, -1.29336, -0.00325, 0.97223, -2.69758, -0.06658, 0.94192, -2.63786
-0.26210, 1.33817, -1.37410, 0.09591, 1.34117, -1.29410, -0.00221, 0.97215, -2.69639, -0.06747, 0.94178, -2.63705
-0.26218, 1.33758, -1.37491, 0.09533, 1.34055, -1.29495, -0.00126, 0.97204, -2.69521, -0.06842, 0.94163, -2.63625
-0.26248, 1.33705, -1.37571, 0.09471, 1.33989, -1.29584, -0.00033, 0.97190, -2.69401, -0.06948, 0.94147, -2.63546
-0.26300, 1.33665, -1.37659, 0.09399, 1.33925, -1.29687, 0.00051, 0.97175, -2.69289, -0.07050, 0.94129, -2.63474
-0.26380, 1.33628, -1.37746, 0.09317, 1.33860, -1.29795, 0.00125, 0.97160, -2.69175, -0.07155, 0.94114, -2.63404
-0.26472, 1.33594, -1.37826, 0.09230, 1.33790, -1.29890, 0.00199, 0.97147, -2.69059, -0.07278, 0.94102, -2.63337
-0.26605, 1.33561, -1.37894, 0.09128, 1.33720, -1.29980, 0.00261, 0.97135, -2.68938, -0.07429, 0.94098, -2.63279
-0.26745, 1.33524, -1.37965, 0.09032, 1.33651, -1.30061, 0.00329, 0.97125, -2.68811, -0.07577, 0.94095, -2.63216
-0.26898, 1.33484, -1.38034, 0.08930, 1.33576, -1.30131, 0.00404, 0.97117, -2.68681, -0.07739, 0.94097, -2.63154
-0.27056, 1.33428, -1.38108, 0.08832, 1.33500, -1.30187, 0.00507, 0.97111, -2.68538, -0.07905, 0.94100, -2.63076
-0.27228, 1.33367, -1.38184, 0.08733, 1.33423, -1.30234, 0.00614, 0.97105, -2.68391, -0.08079, 0.94105, -2.62995
-0.27400, 1.33287, -1.38289, 0.08634, 1.33346, -1.30272, 0.00736, 0.97099, -2.68243, -0.08254, 0.94107, -2.62905
