base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.02002, 1.31505, -1.30307, 0.05460, 1.16045, -1.31445, 0.03540, 1.03571, -2.57969, -0.11933, 1.01012, -2.55971
-0.01756, 1.31500, -1.30677, 0.05512, 1.16072, -1.31828, 0.02623, 1.03320, -2.58979, -0.11529, 1.00823, -2.56770
-0.01530, 1.31491, -1.31074, 0.05602, 1.16094, -1.32205, 0.01698, 1.03081, -2.59998, -0.11197, 1.00620, -2.57544
-0.01325, 1.31484, -1.31490, 0.05737, 1.16110, -1.32579, 0.00771, 1.02850, -2.61026, -0.10909, 1.00406, -2.58297
-0.01121, 1.31471, -1.31922, 0.05907, 1.16120, -1.32955, -0.00121, 1.02616, -2.62040, -0.10616, 1.00186, -2.59026
-0.00915, 1.31458, -1.32369, 0.06134, 1.16119, -1.33345, -0.00914, 1.02375, -2.63034, -0.10264, 0.99953, -2.59723
-0.00696, 1.31451, -1.32810, 0.06399, 1.16109, -1.33739, -0.01609, 1.02123, -2.64008, -0.09836, 0.99712, -2.60401
-0.00488, 1.31437, -1.33260, 0.06690, 1.16092, -1.34132, -0.02267, 1.01871, -2.64938, -0.09370, 0.99471, -2.61045
-0.00294, 1.31415, -1.33709, 0.06982, 1.16072, -1.34507, -0.02902, 1.01633, -2.65815, -0.08895, 0.99234, -2.61658
-0.00118, 1.31374, -1.34159, 0.07250, 1.16054, -1.34852, -0.03577, 1.01417, -2.66628, -0.08433, 0.99010, -2.62243
0.00026, 1.31321, -1.34595, 0.07493, 1.16030, -1.35176, -0.04246, 1.01214, -2.67367, -0.07987, 0.98796, -2.62794
0.00151, 1.31249, -1.35029, 0.07726, 1.16002, -1.35477, -0.04886, 1.01024, -2.68034, -0.07557, 0.98591, -2.63299
0.00250, 1.31152, -1.35455, 0.07926, 1.15969, -1.35755, -0.05449, 1.00838, -2.68602, -0.07163, 0.98395, -2.63755
0.00319, 1.31034, -1.35865, 0.08105, 1.15927, -1.36015, -0.05954, 1.00663, -2.69084, -0.06793, 0.98210, -2.64161
