base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.09611, 1.01940, -1.39804, 0.14913, 0.91201, -1.42911, 0.25039, 0.91294, -1.66495, -0.20595, 0.95415, -1.70014
-0.09599, 1.01940, -1.39879, 0.14931, 0.91203, -1.43004, 0.25045, 0.91264, -1.66512, -0.20597, 0.95391, -1.70057
-0.09595, 1.01934, -1.39962, 0.14944, 0.91198, -1.43107, 0.25050, 0.91228, -1.66529, -0.20591, 0.95355, -1.70087
-0.09598, 1.01924, -1.40046, 0.14945, 0.91191, -1.43208, 0.25045, 0.91191, -1.66539, -0.20585, 0.95315, -1.70105
-0.09602, 1.01909, -1.40134, 0.14947, 0.91178, -1.43315, 0.25050, 0.91148, -1.66547, -0.20567, 0.95266, -1.70107
-0.09616, 1.01891, -1.40222, 0.14934, 0.91164, -1.43420, 0.25050, 0.91104, -1.66555, -0.20553, 0.95214, -1.70090
-0.09626, 1.01873, -1.40308, 0.14923, 0.91147, -1.43520, 0.25049, 0.91058, -1.66560, -0.20541, 0.95166, -1.70066
-0.09642, 1.01859, -1.40385, 0.14910, 0.91133, -1.43617, 0.25055, 0.91016, -1.66571, -0.20547, 0.95121, -1.70048
-0.09650, 1.01853, -1.40446, 0.14898, 0.91127, -1.43699, 0.25069, 0.90985, -1.66591, -0.20567, 0.95094, -1.70034
-0.09665, 1.01850, -1.40503, 0.14883, 0.91122, -1.43777, 0.25080, 0.90959, -1.66617, -0.20598, 0.95072, -1.70025
-0.09688, 1.01853, -1.40554, 0.14861, 0.91122, -1.43852, 0.25088, 0.90934, -1.66646, -0.20631, 0.95057, -1.70020
-0.09713, 1.01862, -1.40593, 0.14830, 0.91126, -1.43918, 0.25093, 0.90919, -1.66682, -0.20665, 0.95057, -1.70026
-0.09744, 1.01875, -1.40633, 0.14793, 0.91132, -1.43982, 0.25096, 0.90905, -1.66717, -0.20694, 0.95059, -1.70041
-0.09777, 1.01890, -1.40665, 0.14752, 0.91140, -1.44039, 0.25097, 0.90890, -1.66748, -0.20719, 0.95066, -1.70055
-0.09822, 1.01903, -1.40698, 0.14701, 0.91145, -1.44097, 0.25084, 0.90874, -1.66779, -0.20736, 0.95071, -1.70059
-0.09864, 1.01916, -1.40725, 0.14656, 0.91148, -1.44138, 0.25075, 0.90855, -1.66798, -0.20738, 0.95077, -1.70057
-0.09915, 1.01929, -1.40754, 0.14595, 0.91150, -1.44181, 0.25059, 0.90835, -1.66818, -0.20740, 0.95081, -1.70048
-0.09965, 1.01936, -1.40783, 0.14537, 0.91149, -1.44217, 0.25051, 0.90817, -1.66833, -0.20741, 0.95084, -1.70029
-0.10011, 1.01942, -1.40822, 0.14476, 0.91147, -1.44247, 0.25047, 0.90806, -1.66847, -0.20740, 0.95092, -1.70007
-0.10060, 1.01946, -1.40859, 0.14415, 0.91145, -1.44279, 0.25048, 0.90794, -1.66860, -0.20731, 0.95098, -1.69977
-0.10116, 1.01955, -1.40890, 0.14343, 0.91151, -1.44298, 0.25049, 0.90786, -1.66878, -0.20723, 0.95112, -1.69950
-0.10172, 1.01975, -1.40912, 0.14267, 0.91164, -1.44310, 0.25057, 0.90790, -1.66903, -0.20706, 0.95137, -1.69924
-0.10233, 1.02000, -1.40931, 0.14185, 0.91180, -1.44321, 0.25067, 0.90794, -1.66931, -0.20689, 0.95164, -1.69898
-0.10307, 1.02025, -1.40948, 0.14089, 0.91198, -1.44332, 0.25064, 0.90800, -1.66960, -0.20675, 0.95191, -1.69870
-0.10388, 1.02049, -1.40969, 0.13995, 0.91211, -1.44350, 0.25053, 0.90801, -1.66985, -0.20664, 0.95212, -1.69844
-0.10476, 1.02070, -1.40990, 0.13898, 0.91221, -1.44374, 0.25036, 0.90803, -1.67006, -0.20657, 0.95227, -1.69815
-0.10566, 1.02089, -1.41018, 0.13800, 0.91227, -1.44402, 0.25012, 0.90802, -1.67022, -0.20650, 0.95238, -1.69787
-0.10664, 1.02101, -1.41058, 0.13697, 0.91233, -1.44435, 0.24979, 0.90796, -1.67040, -0.20647, 0.95245, -1.69761
-0.10764, 1.02107, -1.41112, 0.13599, 0.91232, -1.44473, 0.24947, 0.90787, -1.67053, -0.20640, 0.95252, -1.69739
-0.10865, 1.02108, -1.41175, 0.13501, 0.91231, -1.44511, 0.24916, 0.90777, -1.67067, -0.20637, 0.95255, -1.69716
-0.10965, 1.02109, -1.41249, 0.13403, 0.91230, -1.44546, 0.24893, 0.90765, -1.67087, -0.20632, 0.95267, -1.69692
-0.11067, 1.02113, -1.41334, 0.13298, 0.91230, -1.44588, 0.24877, 0.90753, -1.67110, -0.20635, 0.95282, -1.69667
-0.11172, 1.02118, -1.41435, 0.13191, 0.91231, -1.44626, 0.24865, 0.90743, -1.67140, -0.20643, 0.95301, -1.69632
-0.11276, 1.02124, -1.41545, 0.13088, 0.91234, -1.44665, 0.24870, 0.90731, -1.67169, -0.20643, 0.95322, -1.69601
-0.11381, 1.02141, -1.41657, 0.12993, 0.91242, -1.44698, 0.24886, 0.90726, -1.67200, -0.20636, 0.95349, -1.69564
-0.11498, 1.02157, -1.41791, 0.12890, 0.91251, -1.44735, 0.24902, 0.90721, -1.67229, -0.20631, 0.95373, -1.69520
-0.11621, 1.02171, -1.41947, 0.12796, 0.91261, -1.44765, 0.24929, 0.90719, -1.67261, -0.20616, 0.95400, -1.69487
-0.11751, 1.02170, -1.42154, 0.12704, 0.91272, -1.44797, 0.24947, 0.90716, -1.67287, -0.20595, 0.95419, -1.69454
-0.11889, 1.02152, -1.42411, 0.12626, 0.91283, -1.44823, 0.24965, 0.90714, -1.67311, -0.20553, 0.95438, -1.69429
-0.12042, 1.02118, -1.42723, 0.12552, 0.91292, -1.44862, 0.24981, 0.90707, -1.67334, -0.20506, 0.95449, -1.69413
-0.12205, 1.02069, -1.43081, 0.12476, 0.91297, -1.44912, 0.24993, 0.90690, -1.67354, -0.20462, 0.95449, -1.69400
-0.12393, 1.02006, -1.43483, 0.12397, 0.91300, -1.45000, 0.24994, 0.90653, -1.67380, -0.20428, 0.95432, -1.69391
-0.12590, 1.01918, -1.43971, 0.12316, 0.91302, -1.45101, 0.24989, 0.90607, -1.67410, -0.20405, 0.95410, -1.69389
-0.12791, 1.01790, -1.44607, 0.12248, 0.91304, -1.45219, 0.24994, 0.90558, -1.67446, -0.20381, 0.95385, -1.69393
-0.12971, 1.01596, -1.45483, 0.12196, 0.91310, -1.45355, 0.25012, 0.90511, -1.67498, -0.20369, 0.95368, -1.69402
-0.13145, 1.01343, -1.46583, 0.12170, 0.91321, -1.45497, 0.25053, 0.90463, -1.67559, -0.20348, 0.95357, -1.69421
-0.13365, 1.01051, -1.47838, 0.12161, 0.91331, -1.45650, 0.25107, 0.90416, -1.67624, -0.20326, 0.95344, -1.69443
-0.13698, 1.00740, -1.49254, 0.12166, 0.91343, -1.45816, 0.25168, 0.90361, -1.67699, -0.20297, 0.95327, -1.69464
-0.14168, 1.00410, -1.50812, 0.12186, 0.91356, -1.45988, 0.25241, 0.90309, -1.67783, -0.20255, 0.95310, -1.69491
-0.14729, 1.00057, -1.52452, 0.12205, 0.91371, -1.46181, 0.25312, 0.90248, -1.67875, -0.20221, 0.95283, -1.69522
