base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.10707, 0.92811, -1.44397, 0.20138, 1.05877, -1.50847, 0.26489, 0.92304, -1.71670, -0.21251, 1.01740, -1.72220
-0.10759, 0.92871, -1.44578, 0.20598, 1.06214, -1.50236, 0.26090, 0.92350, -1.71618, -0.21812, 1.01790, -1.72630
-0.10817, 0.92936, -1.44748, 0.21034, 1.06502, -1.49555, 0.25691, 0.92402, -1.71570, -0.22350, 1.01846, -1.73066
-0.10887, 0.93010, -1.44898, 0.21422, 1.06734, -1.48822, 0.25286, 0.92461, -1.71529, -0.22869, 1.01917, -1.73533
-0.10979, 0.93095, -1.45019, 0.21707, 1.06895, -1.48044, 0.24870, 0.92533, -1.71486, -0.23378, 1.02018, -1.74051
-0.11094, 0.93186, -1.45101, 0.21900, 1.06993, -1.47219, 0.24441, 0.92617, -1.71445, -0.23851, 1.02148, -1.74609
-0.11223, 0.93288, -1.45165, 0.22026, 1.07041, -1.46343, 0.24006, 0.92715, -1.71410, -0.24274, 1.02300, -1.75208
-0.11376, 0.93397, -1.45204, 0.22075, 1.07047, -1.45415, 0.23547, 0.92823, -1.71372, -0.24624, 1.02469, -1.75844
-0.11556, 0.93513, -1.45217, 0.22040, 1.07013, -1.44425, 0.23060, 0.92947, -1.71339, -0.24878, 1.02660, -1.76514
-0.11748, 0.93633, -1.45221, 0.21957, 1.06941, -1.43402, 0.22570, 0.93080, -1.71312, -0.25027, 1.02864, -1.77201
-0.11951, 0.93758, -1.45212, 0.21819, 1.06830, -1.42354, 0.22077, 0.93217, -1.71294, -0.25062, 1.03083, -1.77871
-0.12162, 0.93885, -1.45193, 0.21629, 1.06676, -1.41284, 0.21593, 0.93363, -1.71288, -0.24928, 1.03320, -1.78500
-0.12375, 0.94012, -1.45169, 0.21416, 1.06488, -1.40185, 0.21117, 0.93508, -1.71295, -0.24655, 1.03573, -1.79105
-0.12595, 0.94129, -1.45148, 0.21206, 1.06263, -1.39053, 0.20649, 0.93654, -1.71310, -0.24248, 1.03840, -1.79690
